date,detail,cash,credit,creditType,category,tag,waste
2010년07월23일,LIG 손해보험-현... 사용대금 (2010.06.12 ~ 2010.07.11),622050,0,,카드대금>LIG 손해보험-현,,
2010년07월23일,점심,5000,0,,식비>평일점심,,
2010년07월23일,삼겹살,36500,0,,식비>술/유흥,,
2010년07월23일,당구비,11000,0,,건강/문화>문화생활,,
2010년07월24일,게임방,3000,0,,건강/문화>기타,,
2010년07월24일,아이스크림,3000,0,,식비>간식,,
2010년07월24일,담배값,2500,0,,용돈/기타>담배,,
2010년07월25일,휴대폰요금,67150,0,,주거/통신>이동통신,,
2010년07월25일,보험비,40000,0,,저축/보험>보험,"고정비용,",
2010년07월25일,도미노피자,0,26740,LIG 손해보험-현,식비>외식,,
2010년07월26일,"커피,음료",10000,0,,식비>커피/음료,,
2010년07월27일,담배,2500,0,,용돈/기타>담배,,
2010년07월28일,점심,6000,0,,식비>평일점심,,
2010년07월28일,이발,10000,0,,의복/미용>헤어/뷰티,,
2010년07월29일,저녁 with 주현,35000,0,,식비>외식,,
2010년07월29일,점심,6000,0,,식비>평일점심,,
2010년07월30일,점심,5500,0,,식비>평일점심,,
2010년07월30일,이어폰,16900,0,,생활용품>가구/가전,,
2010년07월30일,책(홍콩여행),12000,0,,건강/문화>도서구입,,
2010년07월31일,술값,8000,0,,식비>술/유흥,,
2010년07월31일,당구비,10000,0,,건강/문화>기타,,
2010년07월31일,게임방,1000,0,,건강/문화>기타,,
2010년07월31일,담배값,2500,0,,용돈/기타>담배,,
2010년08월01일,삼청동파스타,27000,0,,식비>외식,,
2010년08월01일,기름값,0,20000,LIG 손해보험-현,교통/차량>주유비,,
2010년08월01일,톨비,2000,0,,교통/차량>기타,,
2010년08월01일,카팩,7000,0,,생활용품>가구/가전,,
2010년08월01일,홍콩항공료,0,180400,LIG 손해보험-현,건강/문화>여행,홍콩,
2010년08월02일,점심,5000,0,,식비>평일점심,,
2010년08월03일,점심,6000,0,,식비>평일점심,,
2010년08월03일,책구입(JAVA의 정석),0,27000,LIG 손해보험-현,건강/문화>도서구입,,
2010년08월03일,홍콩방예약,75280,0,,건강/문화>여행,홍콩,
2010년08월04일,점심,7000,0,,식비>평일점심,,
2010년08월04일,음료수,1300,0,,식비>커피/음료,,
2010년08월04일,담배,2500,0,,용돈/기타>담배,,
2010년08월05일,점심,6000,0,,식비>평일점심,,
2010년08월06일,점심,4000,0,,식비>평일점심,,
2010년08월06일,토스트,2000,0,,식비>간식,,
2010년08월06일,담배값,2500,0,,용돈/기타>담배,,
2010년08월06일,다트게임비,4000,0,,건강/문화>기타,,
2010년08월06일,"술값(with 경희,지희)",0,32000,LIG 손해보험-현,식비>술/유흥,,
2010년08월06일,볼링비,0,34500,LIG 손해보험-현,건강/문화>운동/레저,,
2010년08월07일,음료수,3000,0,,식비>커피/음료,,
2010년08월08일,바나나우유,1000,0,,식비>커피/음료,,
2010년08월09일,담배값,2500,0,,용돈/기타>담배,,
2010년08월09일,키보드구입,0,19290,LIG 손해보험-현,생활용품>가구/가전,,
2010년08월09일,맥주,10000,0,,식비>술/유흥,,
2010년08월09일,담배값(아버지),3000,0,,용돈/기타>담배,,
2010년08월09일,쉐이브크림,15000,0,,의복/미용>헤어/뷰티,,
2010년08월09일,에프터쉐이브로션,22000,0,,의복/미용>헤어/뷰티,,
2010년08월09일,점심,5000,0,,식비>평일점심,,
2010년08월10일,점심,4000,0,,식비>평일점심,,
2010년08월10일,BigRock(with 쑤),0,50600,LIG 손해보험-현,식비>외식,,
